,PC1,PC2,PC3,group,condition,names,sex,zone_fed_state
F0hPC1,-23.05592735,7.605117385,2.634412002,F0hPC,F0hPC,F0hPC1,Female,PC Fed
F0hPC2,-22.73781606,10.23269239,5.666184053,F0hPC,F0hPC,F0hPC2,Female,PC Fed
F0hPC3,-24.71892396,8.330398658,6.957869429,F0hPC,F0hPC,F0hPC3,Female,PC Fed
F0hPP1,-10.22022782,-11.44948052,13.16766353,F0hPP,F0hPP,F0hPP1,Female,PP Fed
F0hPP2,-8.814423127,-11.63899159,19.77208613,F0hPP,F0hPP,F0hPP2,Female,PP Fed
F0hPP3,-7.327402353,-9.728241051,20.49332766,F0hPP,F0hPP,F0hPP3,Female,PP Fed
F24hPC1,-15.33429671,-11.457721,-13.86927246,F24hPC,F24hPC,F24hPC1,Female,PC Fast
F24hPC2,-18.31683764,-2.220309513,-19.89429692,F24hPC,F24hPC,F24hPC2,Female,PC Fast
F24hPC3,-16.56179145,-3.202587589,-18.04589437,F24hPC,F24hPC,F24hPC3,Female,PC Fast
F24hPP1,-0.137838708,-24.74862782,-3.181525743,F24hPP,F24hPP,F24hPP1,Female,PP Fast
F24hPP2,-4.817694319,-23.68178863,-1.114057229,F24hPP,F24hPP,F24hPP2,Female,PP Fast
F24hPP3,1.860525303,-28.39839082,-1.02335186,F24hPP,F24hPP,F24hPP3,Female,PP Fast
M0hPC1,-2.675147701,25.69203969,3.736092634,M0hPC,M0hPC,M0hPC1,Male,PC Fed
M0hPC2,-1.323827893,26.40130855,0.026100558,M0hPC,M0hPC,M0hPC2,Male,PC Fed
M0hPC3,1.446816169,26.14308109,4.343415209,M0hPC,M0hPC,M0hPC3,Male,PC Fed
M0hPP1,17.78531702,5.082954359,20.29143714,M0hPP,M0hPP,M0hPP1,Male,PP Fed
M0hPP2,14.46326029,7.060141259,16.93957282,M0hPP,M0hPP,M0hPP2,Male,PP Fed
M0hPP3,18.90626474,1.036025815,14.01343307,M0hPP,M0hPP,M0hPP3,Male,PP Fed
M24hPC1,11.31462248,12.7772743,-20.23497836,M24hPC,M24hPC,M24hPC1,Male,PC Fast
M24hPC2,12.02053315,5.829567153,-13.3322663,M24hPC,M24hPC,M24hPC2,Male,PC Fast
M24hPC3,6.199512907,7.895967373,-20.28597018,M24hPC,M24hPC,M24hPC3,Male,PC Fast
M24hPP1,23.10127484,-2.434472436,-5.921817025,M24hPP,M24hPP,M24hPP1,Male,PP Fast
M24hPP2,21.04194572,-8.368902602,-5.277176647,M24hPP,M24hPP,M24hPP2,Male,PP Fast
M24hPP3,27.90208247,-6.757054441,-5.860987131,M24hPP,M24hPP,M24hPP3,Male,PP Fast
