"","Slope_lm_function","R_squared_lm_function","R_linear_lm_function","Pearson_R_cor.test_function","Spearman_Rho_cor.test_function"
"1_F0hPC_vs_M0hPC",0.486098929992115,0.108974593002935,0.330113000354326,0.330113000354325,0.221514852951735
"2_F0hPP_vs_M0hPP",0.344090175479076,0.127750559154869,0.357422102219308,0.357422102219308,0.151325115062206
"3_F24hPC_vs_M24hPC",0.311657264225517,0.0930484860550427,0.305038499299749,0.305038499299749,0.141528467954485
"4_F24hPP_vs_M24hPP",0.430990128531387,0.1743806165179,0.417589052200725,0.417589052200725,0.184523284689165
"5_F0hPC_vs_F0hPP",0.497464844334276,0.254416731877427,0.504397394796431,0.50439739479643,0.367932434286621
"6_F24hPC_vs_F24hPP",0.496903367735967,0.266483808572813,0.516220697543999,0.516220697543999,0.380117611396356
"7_M0hPC_vs_M0hPP",0.502722334455602,0.220205479237935,0.469260566463809,0.469260566463807,0.322918111101792
"8_M24hPC_vs_M24hPP",0.614025150938649,0.224331070284804,0.473636010333678,0.473636010333676,0.324012311795323
"9_F0hPC_vs_F24hPC",0.0544343580388616,0.00532831139981314,0.0729952834079925,0.0729952834079925,0.0288212651351419
"10_F0hPP_vs_F24hPP",0.0812802301788417,0.0123457619102585,0.111111484151093,0.111111484151092,0.0809772846875555
"11_M0hPC_vs_M24hPC",0.0988464090738133,0.012740145493522,0.112872252983282,0.112872252983282,0.113124496105554
"12_M0hPP_vs_M24hPP",0.0632002372013383,0.00659502764985555,0.0812097755806254,0.0812097755806254,0.0737212180870094
