"","PP_Starved","PC_Starved","PP_Fed","PC_Fed"
"Scpep1",0,0,1,1
"Ftcd",0,0,1,1
"Calm1",0,0,1,1
"Capns1",0,0,1,1
"Naa20",0,0,1,1
"Pex19",0,0,1,1
"Sgta",0,0,1,1
"Ppp2r1a",0,0,1,1
"Atxn10",0,0,1,1
"Psmd11",0,0,1,1
"Cops3",0,0,1,1
"Echdc1",0,0,1,1
"Adi1",0,0,1,1
"Psmd12",0,0,1,1
"Ywhae",0,0,1,1
"Scfd1",0,0,1,1
"Gstz1",0,0,1,1
"Atxn3",0,0,1,1
"Psmd6",0,0,1,1
"RTRAF",0,0,1,1
"Uchl3",0,0,1,1
"Ywhaz",0,0,1,1
"Tomm22",0,0,1,1
"Rogdi",0,0,1,1
"Naa50",0,0,1,1
"Pdcd4",0,0,1,1
"Psmd13",0,0,1,1
"Ccdc51",0,0,1,1
"Lypla1",0,0,1,1
"Gsta3",0,0,1,1
"Dusp23",0,0,1,1
"Sephs1",0,0,1,1
"Rsu1",0,0,1,1
"Arpc5l",0,0,1,1
"Psmd5",0,0,1,1
"Bcar3",0,0,1,1
"Urod",0,0,1,1
"Psmd9",0,0,1,1
"Arpc3",0,0,1,1
"Plbd2",0,0,1,1
"Aimp2",0,0,1,1
"Cops7a",0,0,1,1
"Dera",0,0,1,1
"Ipo5",0,0,1,1
"Vbp1",0,0,1,1
"Pgls",0,0,1,1
"Rbpms2",0,0,1,1
"Eif3l",0,0,1,1
"Ttc38",0,0,1,1
"Cab39",0,0,1,1
"Efhd2",0,0,1,1
"Akr1e2",0,0,1,1
"Brox",0,0,1,1
"Commd1",0,0,1,1
"Ywhag",0,0,1,1
"Cope",0,0,1,1
"Gstm1",0,0,1,1
"Gmfb",0,0,1,1
"Ufc1",0,0,1,1
"Tcp1",0,0,1,1
"Ube2n",0,0,1,1
"Mix23",0,0,1,1
"Hnrnpl",0,0,1,1
"Bsg",0,0,1,1
"Lmnb1",0,0,1,1
"Abcb11",0,0,1,1
"Srsf9",0,0,1,1
"Ebp",0,0,1,1
"Gtf3c1",0,0,1,1
"Coq5",0,0,1,1
"Itga1",0,0,1,1
"Hnrnpa3",0,0,1,1
"Znf22",0,0,1,1
"Slc4a4",0,0,1,1
"Bpnt2",0,0,1,1
"Tufm",0,0,1,1
