run,sex,zone,fed_state,condition,condition_label,biological_replicate
F0hPC1,Female,PC,Fed,Female_PC_Fed,Female PC Fed,1
F0hPC2,Female,PC,Fed,Female_PC_Fed,Female PC Fed,2
F0hPC3,Female,PC,Fed,Female_PC_Fed,Female PC Fed,3
F0hPP1,Female,PP,Fed,Female_PP_Fed,Female PP Fed,1
F0hPP2,Female,PP,Fed,Female_PP_Fed,Female PP Fed,2
F0hPP3,Female,PP,Fed,Female_PP_Fed,Female PP Fed,3
F24hPC1,Female,PC,Fast,Female_PC_Fast,Female PC Fast,1
F24hPC2,Female,PC,Fast,Female_PC_Fast,Female PC Fast,2
F24hPC3,Female,PC,Fast,Female_PC_Fast,Female PC Fast,3
F24hPP3,Female,PP,Fast,Female_PP_Fast,Female PP Fast,1
F24hPP4,Female,PP,Fast,Female_PP_Fast,Female PP Fast,2
F24hPP5,Female,PP,Fast,Female_PP_Fast,Female PP Fast,3
M0hPC1,Male,PC,Fed,Male_PC_Fed,Male PC Fed,1
M0hPC3,Male,PC,Fed,Male_PC_Fed,Male PC Fed,2
M0hPC4,Male,PC,Fed,Male_PC_Fed,Male PC Fed,3
M0hPP1,Male,PP,Fed,Male_PP_Fed,Male PP Fed,1
M0hPP2,Male,PP,Fed,Male_PP_Fed,Male PP Fed,2
M0hPP3,Male,PP,Fed,Male_PP_Fed,Male PP Fed,3
M24hPC3,Male,PC,Fast,Male_PC_Fast,Male PC Fast,1
M24hPC4,Male,PC,Fast,Male_PC_Fast,Male PC Fast,2
M24hPC5,Male,PC,Fast,Male_PC_Fast,Male PC Fast,3
M24hPP1,Male,PP,Fast,Male_PP_Fast,Male PP Fast,1
M24hPP3,Male,PP,Fast,Male_PP_Fast,Male PP Fast,2
M24hPP5,Male,PP,Fast,Male_PP_Fast,Male PP Fast,3
